Recombinase Name,BP excision no RDF,BP inversion no RDF,LR excision no RDF,LR inversion no RDF,BP excision w/ RDF,BP inversion w/ RDF,LR excision w/ RDF,LR inversion w/ RDF
Bxb1,0.98,0.95,0,0,0.05,0.05,0.9,0.85
PhiC31,0.98,0.95,0,0,0.05,0.05,0.9,0.85
TP901,0.98,0.95,0,0,0.05,0.05,0.9,0.85
PhiBT1,0.98,0.95,0,0,0.05,0.05,0.9,0.85
int12,0.98,0.95,0,0,0.05,0.05,0.9,0.85
PhiJoe,0.98,0.95,0,0,0.05,0.05,0.9,0.85
sprA,0.98,0.95,0,0,0.05,0.05,0.9,0.85
PhiRv1,0.98,0.95,0,0,0.05,0.05,0.9,0.85
int11,0.98,0.95,0,0,0.05,0.05,0.9,0.85
int8,0.98,0.95,0,0,0.05,0.05,0.9,0.85
int4,0.98,0.95,0,0,0.05,0.05,0.9,0.85
int9,0.98,0.95,0,0,0.05,0.05,0.9,0.85
int3,0.98,0.95,0,0,0.05,0.05,0.9,0.85
