Recombinase Name,BP excision no RDF,BP inversion no RDF,LR excision no RDF,LR inversion no RDF,BP excision w/ RDF,BP inversion w/ RDF,LR excision w/ RDF,LR inversion w/ RDF
Bxb1,0.65,0.6,0,0,0.2,0.2,0.55,0.5
PhiC31,0.65,0.6,0,0,0.2,0.2,0.55,0.5
TP901,0.65,0.6,0,0,0.2,0.2,0.55,0.5
PhiBT1,0.65,0.6,0,0,0.2,0.2,0.55,0.5
int12,0.65,0.6,0,0,0.2,0.2,0.55,0.5
PhiJoe,0.65,0.6,0,0,0.2,0.2,0.55,0.5
sprA,0.65,0.6,0,0,0.2,0.2,0.55,0.5
PhiRv1,0.65,0.6,0,0,0.2,0.2,0.55,0.5
int11,0.65,0.6,0,0,0.2,0.2,0.55,0.5
int8,0.65,0.6,0,0,0.2,0.2,0.55,0.5
int4,0.65,0.6,0,0,0.2,0.2,0.55,0.5
int9,0.65,0.6,0,0,0.2,0.2,0.55,0.5
int3,0.65,0.6,0,0,0.2,0.2,0.55,0.5
